Sporici ucet, rocni urokova mira 5.61 %
Stav uctu na zacatku roku 2024 je 10000.00
-------------------------------------------

------------ 1. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
22. 5.2024 | 10725.78 | 1.65 | 100.00
23. 5.2024 | 10727.42 | 1.65 | 100.00
24. 5.2024 | 10729.07 | 1.65 | 100.00
25. 5.2024 | 10730.72 | 1.65 | 100.00
26. 5.2024 | 10732.37 | 1.65 | 100.00
27. 5.2024 | 10734.02 | 1.65 | 100.00
28. 5.2024 | 10735.67 | 1.65 | 100.00
29. 5.2024 | 10737.32 | 1.65 | 100.00
30. 5.2024 | 10738.97 | 1.65 | 100.00
31. 5.2024 | 10740.62 | 1.65 | 100.00
----------------------------------

------------ 6. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 6.2024 | 10742.27 | 1.65 | 100.00
 2. 6.2024 | 10743.92 | 1.65 | 100.00
 3. 6.2024 | 10745.57 | 1.65 | 100.00
 4. 6.2024 | 10747.23 | 1.65 | 100.00
 5. 6.2024 | 10748.88 | 1.65 | 100.00
 6. 6.2024 | 10750.53 | 1.65 | 100.00
 7. 6.2024 | 10752.18 | 1.65 | 100.00
 8. 6.2024 | 10753.83 | 1.65 | 100.00
 9. 6.2024 | 10755.49 | 1.65 | 100.00
10. 6.2024 | 10757.14 | 1.65 | 100.00
11. 6.2024 | 10758.79 | 1.65 | 100.00
12. 6.2024 | 10760.45 | 1.65 | 100.00
13. 6.2024 | 10762.10 | 1.65 | 100.00
14. 6.2024 | 10763.76 | 1.65 | 100.00
15. 6.2024 | 10765.41 | 1.65 | 100.00
16. 6.2024 | 10867.06 | 1.67 | 100.00
17. 6.2024 | 10868.73 | 1.67 | 100.00
18. 6.2024 | 10870.41 | 1.67 | 100.00
19. 6.2024 | 10872.08 | 1.67 | 100.00
20. 6.2024 | 10873.75 | 1.67 | 100.00
21. 6.2024 | 10875.42 | 1.67 | 100.00
22. 6.2024 | 10877.09 | 1.67 | 100.00
23. 6.2024 | 10878.76 | 1.67 | 100.00
24. 6.2024 | 10880.43 | 1.67 | 100.00
25. 6.2024 | 10882.11 | 1.67 | 100.00
26. 6.2024 | 10883.78 | 1.67 | 100.00
27. 6.2024 | 10885.45 | 1.67 | 100.00
28. 6.2024 | 10887.12 | 1.67 | 100.00
29. 6.2024 | 10888.80 | 1.67 | 100.00
30. 6.2024 | 10890.47 | 1.67 | 100.00
----------------------------------

------------ 7. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 7.2024 | 10892.14 | 1.67 | 100.00
 2. 7.2024 | 10893.82 | 1.67 | 100.00
 3. 7.2024 | 10895.49 | 1.67 | 100.00
 4. 7.2024 | 10897.17 | 1.67 | 100.00
 5. 7.2024 | 10898.84 | 1.68 | 100.00
 6. 7.2024 | 10900.52 | 1.68 | 100.00
 7. 7.2024 | 10902.19 | 1.68 | 100.00
 8. 7.2024 | 10903.87 | 1.68 | 100.00
 9. 7.2024 | 10905.54 | 1.68 | 100.00
10. 7.2024 | 10907.22 | 1.68 | 100.00
11. 7.2024 | 10908.90 | 1.68 | 100.00
12. 7.2024 | 10910.57 | 1.68 | 100.00
13. 7.2024 | 10912.25 | 1.68 | 100.00
14. 7.2024 | 10913.93 | 1.68 | 100.00
15. 7.2024 | 10915.61 | 1.68 | 100.00
16. 7.2024 | 11017.28 | 1.69 | 100.00
17. 7.2024 | 11018.98 | 1.69 | 100.00
18. 7.2024 | 11020.67 | 1.69 | 100.00
19. 7.2024 | 11022.36 | 1.69 | 100.00
20. 7.2024 | 11024.06 | 1.69 | 100.00
21. 7.2024 | 11025.75 | 1.69 | 100.00
22. 7.2024 | 11027.45 | 1.69 | 100.00
23. 7.2024 | 11029.14 | 1.70 | 100.00
24. 7.2024 | 11030.84 | 1.70 | 100.00
25. 7.2024 | 11032.53 | 1.70 | 100.00
26. 7.2024 | 11034.23 | 1.70 | 100.00
27. 7.2024 | 11035.92 | 1.70 | 100.00
28. 7.2024 | 11037.62 | 1.70 | 100.00
29. 7.2024 | 11039.32 | 1.70 | 100.00
30. 7.2024 | 11041.01 | 1.70 | 100.00
31. 7.2024 | 11042.71 | 1.70 | 100.00
----------------------------------

------------ 8. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 8.2024 | 11044.41 | 1.70 | 100.00
 2. 8.2024 | 11046.11 | 1.70 | 100.00
 3. 8.2024 | 11047.80 | 1.70 | 100.00
 4. 8.2024 | 11049.50 | 1.70 | 100.00
 5. 8.2024 | 11051.20 | 1.70 | 100.00
 6. 8.2024 | 11052.90 | 1.70 | 100.00
 7. 8.2024 | 11054.60 | 1.70 | 100.00
 8. 8.2024 | 11056.30 | 1.70 | 100.00
 9. 8.2024 | 11058.00 | 1.70 | 100.00
10. 8.2024 | 11059.70 | 1.70 | 100.00
11. 8.2024 | 11061.40 | 1.70 | 100.00
12. 8.2024 | 11063.10 | 1.70 | 100.00
13. 8.2024 | 11064.80 | 1.70 | 100.00
14. 8.2024 | 11066.50 | 1.70 | 100.00
15. 8.2024 | 11068.20 | 1.70 | 100.00
16. 8.2024 | 11169.90 | 1.72 | 100.00
17. 8.2024 | 11171.62 | 1.72 | 100.00
18. 8.2024 | 11173.33 | 1.72 | 100.00
19. 8.2024 | 11175.05 | 1.72 | 100.00
20. 8.2024 | 11176.77 | 1.72 | 100.00
21. 8.2024 | 11178.49 | 1.72 | 100.00
22. 8.2024 | 11180.20 | 1.72 | 100.00
23. 8.2024 | 11181.92 | 1.72 | 100.00
24. 8.2024 | 11183.64 | 1.72 | 100.00
25. 8.2024 | 11185.36 | 1.72 | 100.00
26. 8.2024 | 11187.08 | 1.72 | 100.00
27. 8.2024 | 11188.80 | 1.72 | 100.00
28. 8.2024 | 11190.52 | 1.72 | 100.00
29. 8.2024 | 11192.24 | 1.72 | 100.00
30. 8.2024 | 11193.96 | 1.72 | 100.00
31. 8.2024 | 11195.68 | 1.72 | 100.00
----------------------------------

------------ 9. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 9.2024 | 11197.40 | 1.72 | 100.00
 2. 9.2024 | 11199.12 | 1.72 | 100.00
 3. 9.2024 | 11200.84 | 1.72 | 100.00
 4. 9.2024 | 11202.56 | 1.72 | 100.00
 5. 9.2024 | 11204.29 | 1.72 | 100.00
 6. 9.2024 | 11206.01 | 1.72 | 100.00
 7. 9.2024 | 11207.73 | 1.72 | 100.00
 8. 9.2024 | 11209.45 | 1.72 | 100.00
 9. 9.2024 | 11211.17 | 1.72 | 100.00
10. 9.2024 | 11212.90 | 1.72 | 100.00
11. 9.2024 | 11214.62 | 1.72 | 100.00
12. 9.2024 | 11216.34 | 1.72 | 100.00
13. 9.2024 | 11218.07 | 1.72 | 100.00
14. 9.2024 | 11219.79 | 1.72 | 100.00
15. 9.2024 | 11221.52 | 1.72 | 100.00
16. 9.2024 | 11323.24 | 1.74 | 100.00
17. 9.2024 | 11324.98 | 1.74 | 100.00
18. 9.2024 | 11326.72 | 1.74 | 100.00
19. 9.2024 | 11328.46 | 1.74 | 100.00
20. 9.2024 | 11330.21 | 1.74 | 100.00
21. 9.2024 | 11331.95 | 1.74 | 100.00
22. 9.2024 | 11333.69 | 1.74 | 100.00
23. 9.2024 | 11335.43 | 1.74 | 100.00
24. 9.2024 | 11337.17 | 1.74 | 100.00
25. 9.2024 | 11338.92 | 1.74 | 100.00
26. 9.2024 | 11340.66 | 1.74 | 100.00
27. 9.2024 | 11342.40 | 1.74 | 100.00
28. 9.2024 | 11344.14 | 1.74 | 100.00
29. 9.2024 | 11345.89 | 1.74 | 100.00
30. 9.2024 | 11347.63 | 1.74 | 100.00
----------------------------------

------------10. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1.10.2024 | 11349.38 | 1.74 | 100.00
 2.10.2024 | 11351.12 | 1.74 | 100.00
 3.10.2024 | 11352.87 | 1.74 | 100.00
 4.10.2024 | 11354.61 | 1.75 | 100.00
 5.10.2024 | 11356.36 | 1.75 | 100.00
 6.10.2024 | 11358.10 | 1.75 | 100.00
 7.10.2024 | 11359.85 | 1.75 | 100.00
 8.10.2024 | 11361.59 | 1.75 | 100.00
 9.10.2024 | 11363.34 | 1.75 | 100.00
10.10.2024 | 11365.08 | 1.75 | 100.00
11.10.2024 | 11366.83 | 1.75 | 100.00
12.10.2024 | 11368.58 | 1.75 | 100.00
13.10.2024 | 11370.33 | 1.75 | 100.00
14.10.2024 | 11372.07 | 1.75 | 100.00
15.10.2024 | 11373.82 | 1.75 | 100.00
16.10.2024 | 11475.57 | 1.76 | 100.00
17.10.2024 | 11477.33 | 1.76 | 100.00
18.10.2024 | 11479.10 | 1.76 | 100.00
19.10.2024 | 11480.86 | 1.76 | 100.00
20.10.2024 | 11482.63 | 1.76 | 100.00
21.10.2024 | 11484.39 | 1.77 | 100.00
22.10.2024 | 11486.16 | 1.77 | 100.00
23.10.2024 | 11487.92 | 1.77 | 100.00
24.10.2024 | 11489.69 | 1.77 | 100.00
25.10.2024 | 11491.45 | 1.77 | 100.00
26.10.2024 | 11493.22 | 1.77 | 100.00
27.10.2024 | 11494.99 | 1.77 | 100.00
28.10.2024 | 11496.75 | 1.77 | 100.00
29.10.2024 | 11498.52 | 1.77 | 100.00
30.10.2024 | 11500.29 | 1.77 | 100.00
31.10.2024 | 11502.05 | 1.77 | 100.00
----------------------------------

------------11. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1.11.2024 | 11503.82 | 1.77 | 100.00
 2.11.2024 | 11505.59 | 1.77 | 100.00
 3.11.2024 | 11507.36 | 1.77 | 100.00
 4.11.2024 | 11509.13 | 1.77 | 100.00
 5.11.2024 | 11510.90 | 1.77 | 100.00
 6.11.2024 | 11512.67 | 1.77 | 100.00
 7.11.2024 | 11514.44 | 1.77 | 100.00
 8.11.2024 | 11516.21 | 1.77 | 100.00
 9.11.2024 | 11517.98 | 1.77 | 100.00
10.11.2024 | 11519.75 | 1.77 | 100.00
11.11.2024 | 11521.52 | 1.77 | 100.00
12.11.2024 | 11523.29 | 1.77 | 100.00
13.11.2024 | 11525.06 | 1.77 | 100.00
14.11.2024 | 11526.83 | 1.77 | 100.00
15.11.2024 | 11528.60 | 1.77 | 100.00
16.11.2024 | 11630.37 | 1.79 | 100.00
17.11.2024 | 11632.16 | 1.79 | 100.00
18.11.2024 | 11633.95 | 1.79 | 100.00
19.11.2024 | 11635.74 | 1.79 | 100.00
20.11.2024 | 11637.52 | 1.79 | 100.00
21.11.2024 | 11639.31 | 1.79 | 100.00
22.11.2024 | 11641.10 | 1.79 | 100.00
23.11.2024 | 11642.89 | 1.79 | 100.00
24.11.2024 | 11644.68 | 1.79 | 100.00
25.11.2024 | 11646.47 | 1.79 | 100.00
26.11.2024 | 11648.26 | 1.79 | 100.00
27.11.2024 | 11650.05 | 1.79 | 100.00
28.11.2024 | 11651.84 | 1.79 | 100.00
29.11.2024 | 11653.63 | 1.79 | 100.00
30.11.2024 | 11655.42 | 1.79 | 100.00
----------------------------------

------------12. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1.12.2024 | 11657.21 | 1.79 | 100.00
 2.12.2024 | 11659.01 | 1.79 | 100.00
 3.12.2024 | 11660.80 | 1.79 | 100.00
 4.12.2024 | 11662.59 | 1.79 | 100.00
 5.12.2024 | 11664.38 | 1.79 | 100.00
 6.12.2024 | 11666.18 | 1.79 | 100.00
 7.12.2024 | 11667.97 | 1.79 | 100.00
 8.12.2024 | 11669.76 | 1.79 | 100.00
 9.12.2024 | 11671.56 | 1.79 | 100.00
10.12.2024 | 11673.35 | 1.79 | 100.00
11.12.2024 | 11675.14 | 1.79 | 100.00
12.12.2024 | 11676.94 | 1.79 | 100.00
13.12.2024 | 11678.73 | 1.80 | 100.00
14.12.2024 | 11680.53 | 1.80 | 100.00
15.12.2024 | 11682.32 | 1.80 | 100.00
16.12.2024 | 11784.12 | 1.81 | 100.00
17.12.2024 | 11785.93 | 1.81 | 100.00
18.12.2024 | 11787.74 | 1.81 | 100.00
19.12.2024 | 11789.55 | 1.81 | 100.00
20.12.2024 | 11791.37 | 1.81 | 100.00
21.12.2024 | 11793.18 | 1.81 | 100.00
22.12.2024 | 11794.99 | 1.81 | 100.00
23.12.2024 | 11796.80 | 1.81 | 100.00
24.12.2024 | 11798.62 | 1.81 | 100.00
25.12.2024 | 11800.43 | 1.81 | 100.00
26.12.2024 | 11802.25 | 1.81 | 100.00
27.12.2024 | 11804.06 | 1.81 | 100.00
28.12.2024 | 11805.87 | 1.81 | 100.00
29.12.2024 | 11807.69 | 1.81 | 100.00
30.12.2024 | 11809.50 | 1.82 | 100.00
31.12.2024 | 11811.32 | 1.82 | 100.00
----------------------------------

